# Card Desc vs GameEventListener Check
# Format: CARD|<prefab_name>|<path>|cardDesc=<desc>|listeners=<event_name>,<event_name>,...
#
CARD|GRAVE_PORTAL|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/0_Common/GRAVE_PORTAL.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 敌方;被埋葬:置顶 <b>1</b> 友方|listeners=OnMeRevealed,OnMeBuried
CARD|SOLDIER_SKELETON|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/0_Common/SOLDIER_SKELETON.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被埋葬:置顶自身|listeners=OnMeRevealed,OnMeBuried
CARD|UNDEAD_CURSER|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/0_Common/UNDEAD_CURSER.prefab|cardDesc=揭晓时:增强敌方[诅咒] <b>1</b>;\n被埋葬:增强敌方[诅咒] <b>1</b>|listeners=OnMeRevealed,OnMeBuried
CARD|AVENGER|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/1_Uncommon/AVENGER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被埋葬:获得 <b>2</b> 力量|listeners=OnMeRevealed,OnMeBuried
CARD|CONFUSED_PORTALMANCER|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/1_Uncommon/CONFUSED_PORTALMANCER.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 友方;\n被埋葬:生成 <b>3</b> [次元裂缝] |listeners=OnMeRevealed,OnMeBuried
CARD|CURSED_CORPSE|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/1_Uncommon/CURSED_CORPSE.prefab|cardDesc=揭晓时:增强 <b>1</b> 敌方[诅咒];被埋葬:造成 <b><dmg></b> x <b>3</b> 伤害|listeners=OnMeRevealed,OnMeBuried
CARD|SCAPEGOAT|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/1_Uncommon/SCAPEGOAT.prefab|cardDesc=被埋葬:造成 <b><dmg></b> 伤害,置顶 1 友方|listeners=OnMeBuried,OnMeBuried
CARD|SPIKE_SKELETON|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/1_Uncommon/SPIKE_SKELETON.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被埋葬:造成 <b><dmg></b> 伤害 x <b>2</b>|listeners=OnMeRevealed,OnMeBuried
CARD|GRAVE_KEEPER|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/2_Rare/GRAVE_KEEPER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;当卡被埋葬时:置顶自身|listeners=OnFriendlyCardBuried,OnMeRevealed
CARD|MARTYR|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/2_Rare/MARTYR.prefab|cardDesc=被埋葬:所有友方获得 <b>1</b> 力量|listeners=OnMeBuried
CARD|SLIME|Assets/Prefabs/Cards/3.0 no cost (current)/Bury and buried/DeathRattle/2_Rare/SLIME.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;\n被埋葬::添加自身到卡组中|listeners=OnMeBuried,OnMeRevealed
CARD|FALL_INTO_RIFT|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/0_Common/FALL_INTO_RIFT.prefab|cardDesc=揭晓时:生成 <b>1</b> [次元裂缝],埋葬 <b>1</b> 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|RIFT_INSECT|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/0_Common/RIFT_INSECT.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;生成 <b>1</b> [次元裂缝]|listeners=OnMeRevealed,OnMeRevealed
CARD|SACRIFICE_RITUAL|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/0_Common/SACRIFICE_RITUAL.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 友方,生成 <b>2</b> [次元裂缝]|listeners=OnMeRevealed,OnMeRevealed
CARD|RIFT_COFFIN|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/1_Uncommon/RIFT_COFFIN.prefab|cardDesc=萦绕;当友方被去除时:埋葬 <b>1</b> 敌方|listeners=OnFriendlyCardExiled
CARD|RIFT_DRAGON|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/1_Uncommon/RIFT_DRAGON.prefab|cardDesc=揭晓时:生成 <b>1</b> [次元裂缝],造成 <b>4</b> 伤害;\n被置顶:生成 <b>1</b> [次元裂缝]|listeners=OnMeRevealed,OnMeStaged
CARD|RIFT_GUIDE|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/1_Uncommon/RIFT_GUIDE.prefab|cardDesc=揭晓时,去除 <b>1</b> [次元裂缝]:埋葬 <b>2</b> 敌方|listeners=OnMeRevealed
CARD|RIFT_MONSTER|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/1_Uncommon/RIFT_MONSTER.prefab|cardDesc=揭晓时,去除 <b>1</b> [次元裂缝]:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed
CARD|RIFT_SUMMONER|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/1_Uncommon/RIFT_SUMMONER.prefab|cardDesc=揭晓时,去除 <b>1</b> [次元裂缝]:置顶 <b>2</b> 友方|listeners=OnMeRevealed
CARD|DEATHBED_CURSE|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/2_Rare/DEATHBED_CURSE.prefab|cardDesc=萦绕;当友方被去除时:敌方[诅咒]获得 <b>1</b> 力量|listeners=OnFriendlyCardExiled
CARD|RIFT_DEVOURER|Assets/Prefabs/Cards/3.0 no cost (current)/Conjure/2_Rare/RIFT_DEVOURER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;当友方被去除时:获得 <b>1</b> 力量|listeners=OnMeRevealed,OnFriendlyCardExiled
CARD|CURSE_SUMMONER|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/0_Common/CURSE_SUMMONER.prefab|cardDesc=揭晓时,消耗敌方[诅咒] <b>1</b> 力量:置顶 <b>1</b> 友方|listeners=OnMeRevealed
CARD|POISONER|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/0_Common/POISONER.prefab|cardDesc=揭晓时:增强 <b>1</b> 敌方[诅咒],造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnMeRevealed
CARD|RIFT_CURSE|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/0_Common/RIFT_CURSE.prefab|cardDesc=揭晓时:增强 <b>1</b> 敌方[诅咒],生成 <b>1</b> [次元裂缝]|listeners=OnMeRevealed,OnMeRevealed
CARD|CURSE_THIRST_BEAST|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/CURSE_THIRST_BEAST.prefab|cardDesc=当敌方[诅咒]揭晓时:置顶自身;\n揭晓时:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnHostileCurseRevealed
CARD|CURSE_THIRST_SHAMAN|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/CURSE_THIRST_SHAMAN.prefab|cardDesc=揭晓时,敌方[诅咒]每有 <b>1</b> 力量:给予 <b>1</b> 友方 <b>1</b> 力量|listeners=OnMeRevealed
CARD|CURSED_SKELETON|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/CURSED_SKELETON.prefab|cardDesc=揭晓时,墓地每有 <b>1</b> 友方:增强 <b>1</b> 敌方[诅咒]|listeners=OnMeRevealed
CARD|MOTH_MAN|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/MOTH_MAN.prefab|cardDesc=当敌方[诅咒]获得力量时:置顶 <b>1</b> 友方|listeners=OnEnemyCurseCardGotPower
CARD|PREMATURE|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/PREMATURE.prefab|cardDesc=揭晓时,敌方[诅咒]力量 - <b>1</b> :置顶敌方[诅咒]|listeners=OnMeRevealed
CARD|SACRIFICIAL_CURSE|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/SACRIFICIAL_CURSE.prefab|cardDesc=揭晓时:埋葬 <b>1</b> 友方,增强 <b>2</b> 敌方[诅咒]|listeners=OnMeRevealed,OnMeRevealed
CARD|SMALL_SCALE_DEATH|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/1_Uncommon/SMALL_SCALE_DEATH.prefab|cardDesc=揭晓时:埋葬后 <b>2</b> 卡,增强 <b>1</b> 敌方[诅咒]|listeners=OnMeRevealed,OnMeRevealed
CARD|CROW_CROWD|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/2_Rare/CROW_CROWD.prefab|cardDesc=揭晓时:将所有友方的力量转移到敌方的[诅咒]|listeners=OnMeRevealed
CARD|CURSE_ENCHANTMENT|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/2_Rare/CURSE_ENCHANTMENT.prefab|cardDesc=萦绕;当敌人受到伤害时:增强 <b>1</b> 敌方[诅咒]|listeners=OnTheirPlayerTookDmg
CARD|DETERIORATION|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/2_Rare/DETERIORATION.prefab|cardDesc=揭晓时,敌方[诅咒]每有 <b>2</b> 力量:增强 <b>1</b> 敌方[诅咒]|listeners=OnMeRevealed
CARD|PROLIFERATING_CURSE|Assets/Prefabs/Cards/3.0 no cost (current)/Curse/2_Rare/PROLIFERATING_CURSE.prefab|cardDesc=揭晓时:复制敌方 <b>1</b> [诅咒]|listeners=OnMeRevealed
CARD|BLACKSMITH|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/BLACKSMITH.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害,给予一个友方 <b>1</b> 力量|listeners=OnMeRevealed,OnMeRevealed
CARD|BLIND_COMBAT_PRIEST|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/BLIND_COMBAT_PRIEST.prefab|cardDesc=揭晓时:给予下 <b>1</b> 卡 <b>3</b> 力量|listeners=OnMeRevealed
CARD|COFFIN_MAKER|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/COFFIN_MAKER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害,埋葬 <b>1</b> 敌方|listeners=OnMeRevealed,OnMeRevealed
CARD|CURSE_THIRST_SUMMONER|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/CURSE_THIRST_SUMMONER.prefab|cardDesc=揭晓时,消耗敌方[诅咒] <b>1</b> 力量:置顶 <b>1</b> 友方;\n揭晓时:给予下 <b>1</b> 卡 <b>2</b> 力量|listeners=OnMeRevealed,OnMeRevealed
CARD|MAD_SCIENTIST|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/MAD_SCIENTIST.prefab|cardDesc=揭晓时:给予下 <b>3</b> 卡 <b>2</b> 力量|listeners=OnMeRevealed
CARD|SACRIFICIAL_SWORD|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/SACRIFICIAL_SWORD.prefab|cardDesc=揭晓:埋葬 <b>1</b> 友方,给予 <b>1</b> 友方 <b>2</b> 力量|listeners=OnMeRevealed,OnMeRevealed
CARD|SIDE_EFFECT_PORTAL|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/SIDE_EFFECT_PORTAL.prefab|cardDesc=揭晓时:增强自身诅咒 <b>2</b> ,置顶 <b>1</b> 友方|listeners=OnMeRevealed,OnMeRevealed
CARD|THE_FOOL|Assets/Prefabs/Cards/3.0 no cost (current)/General/0_Common/THE_FOOL.prefab|cardDesc=揭晓时:置顶力量最多的敌方,造成 <b>4</b> 伤害|listeners=OnMeRevealed,OnMeRevealed
CARD|ADVANCE_PORTAL|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/ADVANCE_PORTAL.prefab|cardDesc=每揭晓 <b>2<counter></b> 次:置顶 <b>2</b> 友方|listeners=OnMeRevealed,OnMeRevealed
CARD|ALL_FOR_ONE|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/ALL_FOR_ONE.prefab|cardDesc=揭晓时:造成所有卡的力量数量的伤害|listeners=OnMeRevealed
CARD|ANTI_CREATURE_WEAPON|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/ANTI_CREATURE_WEAPON.prefab|cardDesc=揭晓时:埋葬 <b>2</b> 敌方|listeners=OnMeRevealed
CARD|BONE_COMBINATION|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/BONE_COMBINATION.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害 x 本回合被埋葬的敌方数量|listeners=OnMeRevealed
CARD|DR_MANHATTAN|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/DR_MANHATTAN.prefab|cardDesc=揭晓时,消耗 <b>3</b> 力量:置顶 <b>2</b> 友方,埋葬 <b>2</b> 敌方|listeners=OnMeRevealed
CARD|FLESH_COMBINATION|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/FLESH_COMBINATION.prefab|cardDesc=揭晓时:造成友方数量的伤害|listeners=OnMeRevealed
CARD|GOBLIN_ASSASSIN_TEAM|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/GOBLIN_ASSASSIN_TEAM.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被置顶:埋葬 <b>1</b> 敌方|listeners=OnMeRevealed,OnMeStaged
CARD|GOBLIN_CHARGE_TEAM|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/GOBLIN_CHARGE_TEAM.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;\n被置顶:造成 <b><dmg></b> 伤害|listeners=OnMeRevealed,OnMeStaged
CARD|POWER_CRAVER|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/POWER_CRAVER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;获得力量时:获得 <b>2</b> 倍力量|listeners=OnMeRevealed,OnMeGotStatusEffect
CARD|POWER_SURGE|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/POWER_SURGE.prefab|cardDesc=揭晓时:造成 <b>4</b> 伤害;\n被置顶:给予 <b>2</b> 友方 <b>1</b> 力量|listeners=OnMeRevealed,OnMeRevealed
CARD|QUICK_RESPONSE_PROTOCOL|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/QUICK_RESPONSE_PROTOCOL.prefab|cardDesc=萦绕;\n再有 <b>3<counter></b> 敌人被揭晓:置顶 <b>1</b> 友方|listeners=OnHostileRevealed,OnHostileRevealed
CARD|SNATCHER|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/SNATCHER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被置顶:置顶 <b>1</b> 友方;被埋葬:埋葬 <b>1</b> 敌方|listeners=OnMeRevealed,OnMeStaged,OnMeBuried
CARD|TACTICAL_BREACHER|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/TACTICAL_BREACHER.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害;被置顶:获得 <b>1</b> 力量|listeners=OnMeRevealed,OnMeStaged
CARD|WEAPON_SPIRIT|Assets/Prefabs/Cards/3.0 no cost (current)/General/1_Uncommon/WEAPON_SPIRIT.prefab|cardDesc=萦绕;当友方获得力量时:给予该友方 <b>1</b> 力量|listeners=OnFriendlyCardGotPower
CARD|ALMIGHTY|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/ALMIGHTY.prefab|cardDesc=揭晓 <b>2<counter></b> 次:造成 <b><dmg></b> 伤害,置顶 <b>1</b> 友方,埋葬 <b>1</b> 敌方,给予 <b>1</b> 友方力量,生成 <b>1</b> [次元裂缝],增强 <b>1</b> 敌方[诅咒]|listeners=OnMeRevealed,OnMeRevealed
CARD|BOOSTER|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/BOOSTER.prefab|cardDesc=洗牌后:置顶 <b>2</b> 友方;揭晓时:埋葬 <b>1</b> 友方|listeners=AfterShuffle,OnMeRevealed
CARD|ELDER_SORCERER|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/ELDER_SORCERER.prefab|cardDesc=揭晓时,本回合每置顶过 <b>1</b> 友方:给予 <b>1</b> 友方 <b>1</b> 力量|listeners=OnMeRevealed,OnMeGotStatusEffect
CARD|ETERNAL_GHOST|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/ETERNAL_GHOST.prefab|cardDesc=萦绕;当敌人受到伤害时:造成 <b><dmg></b> 伤害|listeners=OnTheirPlayerTookDmg
CARD|POWER_SIPHONER|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/POWER_SIPHONER.prefab|cardDesc=揭晓时:转移所有友方的 <b>1</b> 力量到自身,造成 <b><dmg></b> 伤害 x <b>2</b>|listeners=OnMeRevealed,OnMeRevealed
CARD|POWER_TRANSFER|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/POWER_TRANSFER.prefab|cardDesc=揭晓时:去除 <b>2</b> 敌方 <b>1</b> 力量,给予 <b>2</b> 友方 <b>1</b> 力量|listeners=OnMeRevealed,OnMeRevealed
CARD|UNFINISHED_ROBOT|Assets/Prefabs/Cards/3.0 no cost (current)/General/2_Rare/UNFINISHED_ROBOT.prefab|cardDesc=揭晓时:造成 <b><dmg></b> 伤害,翻倍自身力量|listeners=OnMeRevealed,OnMeRevealed
